#########################################
#
# wikipedia-en.txt
#
#########################################
@lang=en
#########################################
Daniels, A. Polak|A._Polak_Daniels
Simutowe, Amon|Amon_Simutowe
Burn, Amos|Amos_Burn
Pokorny, Amos|Amos_Pokorn%C3%BD
Yangfeng, An|An_Yangfeng
Srebrnic, Ana|Ana_Srebrnic
Tschepurnoff, Anatol|Anatol_Tschepurnoff
Bannik, Anatoly|Anatoly_Bannik
Karpov, Anatoly|Anatoly_Karpov
Lein, Anatoly|Anatoly_Lein
Vaisser, Anatoly|Anatoly_Vaisser
Lilienthal, Andor|Andor_Lilienthal
Adorjan, Andras|Andr%C3%A1s_Adorj%C3%A1n
Cheron, Andre|Andr%C3%A9_Ch%C3%A9ron
Diamant, Andre|Andr%C3%A9_Diamant
Muffang, Andre|Andr%C3%A9_Muffang
Ascharin, Andreas|Andreas_Ascharin
Dueckstein, Andreas|Andreas_D%C3%BCckstein
Duhm, Andreas|Andreas_Duhm
Rosendahl, Andreas|Andreas_Rosendahl
Istratescu, Andrei|Andrei_Istratescu
Kharlov, Andrei|Andrei_Kharlov
Sokolov, Andrei|Andrei_Sokolov
Volokitin, Andrei|Andrei_Volokitin
Soltis, Andrew|Andrew_Soltis
Lukin, Andrey|Andrey_Lukin
Fuderer, Andrija|Andrija_Fuderer
Giri, Anish|Anish_Giri
Belakovskaia, Anjelina|Anjelina_Belakovskaia
Akhsharumova, Anna|Anna_Akhsharumova
Gasik, Anna|Anna_Gasik
Hahn, Anna|Anna_Hahn_%28chess%29
Muzychuk, Anna|Anna_Muzychuk
Rudolf, Anna|Anna_Rudolf
Ushenina, Anna|Anna_Ushenina
Zatonskih, Anna|Anna_Zatonskih
Sunnucks, Anne|Anne_Sunnucks
Santasiere, Anthony|Anthony_Santasiere
Stefanova, Antoaneta|Antoaneta_Stefanova
Kohler, Anton|Anton_Kohler
Korobov, Anton|Anton_Korobov
Olson, Anton|Anton_Olson
Wojciechowski, Antoni|Antoni_Wojciechowski
Medina, Antonio|Antonio_Medina
Rico, Antonio|Antonio_Rico
Sacconi, Antonio|Antonio_Sacconi
Corke, Anya|Anya_Corke
Mohiliver, Ariah|Ariah_Mohiliver
Caoili, Arianne|Arianne_Caoili
Sorin, Ariel|Ariel_Sorin
Gromer, Aristide|Aristide_Gromer
Naiditsch, Arkadij|Arkadij_Naiditsch
Pashikian, Arman|Arman_Pashikian
Blackmar, Armand|Armand_Blackmar
Nickel, Arno|Arno_Nickel
Aurbach, Arnold|Arnold_Aurbach
Denker, Arnold|Arnold_Denker
Schottlaender, Arnold|Arnold_Schottl%C3%A4nder
Foreest, Arnold van|Arnold_van_Foreest
Hoek, Arnold van den|Arnold_van_den_Hoek
Nimzowitsch, Aron|Aron_Nimzowitsch
Zabludowski, Aron|Aron_Zab%C5%82udowski
Vajda, Arpad|Arpad_Vajda
Petrosian, Arshak|Arshak_Petrosian
Minasian, Artashes|Artashes_Minasian
Bisguier, Arthur|Arthur_Bisguier
Dake, Arthur|Arthur_Dake
Dunkelblum, Arthur|Arthur_Dunkelblum
Feuerstein, Arthur|Arthur_Feuerstein
Kaufmann, Arthur|Arthur_Kaufmann
Wijnans, Arthur|Arthur_Wijnans
Kogan, Artur|Artur_Kogan
Poplawski, Artur|Artur_Poplawski
Yusupov, Artur|Artur_Yusupov
Pomar, Arturo|Arturo_Pomar
Reggio, Arturo|Arturo_Reggio
Timofeev, Artyom|Artyom_Timofeev
