#########################################
#
# wikipedia-en.txt
#
#########################################
@lang=en
#########################################
Daniels, A. Polak|A._Polak_Daniels
Polerio, Giulio|Giulio_Polerio
Flear, Glenn|Glenn_Flear
Danielsson, Goesta|G%C3%B6sta_Danielsson
Stoltz, Goesta|G%C3%B6sta_Stoltz
Weiming, Goh|Goh_Weiming
Qianyun, Gong|Gong_Qianyun
Machate, Gottlieb|Gottlieb_Machate
Alekhine, Grace|Grace_Alekhine
Shahade, Greg|Greg_Shahade
Kaidanov, Gregory|Gregory_Kaidanov
Serper, Gregory|Gregory_Serper
Helbach, Grigory|Grigory_Helbach
Levenfish, Grigory|Grigory_Levenfish
Sanakoev, Grigory|Grigory_Sanakoev
Gajewski, Grzegorz|Grzegorz_Gajewski
Xiaobing, Gu|Gu_Xiaobing
Sigurjonsson, Gudmundur|Gu%C3%B0mundur_Sigurj%C3%B3nsson
Friedemann, Gunnar|Gunnar_Friedemann
Gundersen, Gunnar|Gunnar_Gundersen_%28chess_player%29
Nyholm, Gustaf|Gustaf_Nyholm
Neumann, Gustav|Gustav_Neumann
Rogmann, Gustav|Gustav_Rogmann
Lazard, Gustave|Gustave_Lazard
West, Guy|Guy_West
Exner, Gyozo|Gy%C5%91z%C5%91_Exner
Forintos, Gyozo|Gy%C5%91z%C5%91_Forintos
Breyer, Gyula|Gyula_Breyer
Kluger, Gyula|Gyula_Kluger
Makovetz, Gyula|Gyula_Makovetz
Sax, Gyula|Gyula_Sax
Roepstorff, H.|H._Roepstorff_%28chess_player%29
Kramer, Haije|Haije_Kramer
Odeev, Handszar|Handszar_Odeev
Erenska, Hanna|Hanna_Ere%C5%84ska
Stefansson, Hannes|Hannes_Stefansson
Berliner, Hans|Hans_Berliner
Duhm, Hans|Hans_Duhm
Fahrni, Hans|Hans_Fahrni
Johner, Hans|Hans_Johner
Kmoch, Hans|Hans_Kmoch
Mueller, Hans|Hans_M%C3%BCller_%28chess_player%29
Ree, Hans|Hans_Ree
Hecht, Hans-Joachim|Hans-Joachim_Hecht
Saunders, Harold|Harold_Saunders
Hunt, Harriet|Harriet_Hunt
Golombek, Harry|Harry_Golombek
Pillsbury, Harry Nelson|Harry_Nelson_Pillsbury
Rossetto, Hector|H%C3%A9ctor_Rossetto
Westerinen, Heikki|Heikki_Westerinen
Reinhardt, Heinrich|Heinrich_Reinhardt
Wagner, Heinrich|Heinrich_Wagner
Wolf, Heinrich|Heinrich_Wolf
Nowarra, Heinz|Heinz_Nowarra
Gretarsson, Helgi|Helgi_Gretarsson
Olafsson, Helgi|Helgi_Olafsson
Pfleger, Helmut|Helmut_Pfleger
Grob, Henri|Henri_Grob
Weenink, Henri|Henri_Weenink
Konarkowska-Sokolov, Henrijeta|Henrijeta_Konarkowska-Sokolov
Mecking, Henrique|Henrique_Mecking
Bird, Henry|Henry_Bird_%28chess_player%29
Atkins, Henry Ernest|Henry_Ernest_Atkins
Hosmer, Henry|Henry_Hosmer
Buckle, Henry Thomas|Henry_Thomas_Buckle
Friedman, Henryk|Henryk_Friedman
Pogoriely, Henryk|Henryk_Pogorie%C5%82y
Avram, Herbert|Herbert_Avram
Heinicke, Herbert|Herbert_Heinicke
Trenchard, Herbert William|Herbert_William_Trenchard
Pilnik, Herman|Herman_Pilnik
Steiner, Herman|Herman_Steiner
Riemsdijk, Herman Van|Herman_Van_Riemsdijk
Matisons, Hermanis|Hermanis_Matisons
Helms, Hermann|Hermann_Helms
Keidanski, Hermann|Hermann_Keidanski
Gottschall, Hermann von|Hermann_von_Gottschall
Hanneken, Hermann von|Hermann_von_Hanneken_%28chess_player%29
Hamdouchi, Hichem|Hichem_Hamdouchi
Czarnowski, Hieronim|Hieronim_Czarnowski
Nakamura, Hikaru|Hikaru_Nakamura
Tan, Hiong Liong|Hiong_Liong_Tan
Gargatagli, Hipolito Asis|Hip%C3%B3lito_Asis_Gargatagli
Trang, Hoang Thanh|Hoang_Thanh_Trang
Norman-Hansen, Holger|Holger_Norman-Hansen
Bigelow, Horace|Horace_Bigelow
Caro, Horatio|Horatio_Caro
Rittner, Horst|Horst_Rittner
Yifan, Hou|Hou_Yifan
Mashian, Houshang|Houshang_Mashian
Staunton, Howard|Howard_Staunton
Melkumyan, Hrant|Hrant_Melkumyan
Banikas, Hristos|Hristos_Banikas
Yang, Hsu Li|Hsu_Li_Yang
Qian, Huang|Huang_Qian
Kennedy, Hugh Alexander|Hugh_Alexander_Kennedy
Myers, Hugh|Hugh_Myers
Faehndrich, Hugo|Hugo_F%C3%A4hndrich
Spangenberg, Hugo|Hugo_Spangenberg
Suechting, Hugo|Hugo_S%C3%BCchting
Nepomniachtchi, Ian|Ian_Nepomniachtchi
Rogers, Ian|Ian_Rogers
Kolisch, Ignac|Ign%C3%A1c_Kolisch
Popiel, Ignatz von|Ignatz_von_Popiel
Bondarevsky, Igor|Igor_Bondarevsky
Glek, Igor|Igor_Glek
Ivanov, Igor|Igor_Ivanov_%28chess_player%29
Khenkin, Igor|Igor_Khenkin
Kurnosov, Igor|Igor_Kurnosov
Lysyj, Igor|Igor_Lysyj
Miladinovic, Igor|Igor_Miladinovic
Novikov, Igor|Igor_Novikov_%28chess_player%29
Platonov, Igor|Igor_Platonov
Ivanov, Igor Vasilyevich|Igor_Vasilyevich_Ivanov
Zaitsev, Igor|Igor_Zaitsev
Nei, Iivo|Iivo_Nei
Ibragimov, Ildar|Ildar_Ibragimov
Madl, Ildiko|Ildiko_Madl
Nyzhnyk, Illya|Illya_Nyzhnyk
Raud, Ilmar|Ilmar_Raud
Guggenberger, Ilse|Ilse_Guggenberger
Gurevich, Ilya|Ilya_Gurevich
Kan, Ilya|Ilya_Kan
Rabinovich, Ilya|Ilya_Rabinovich
Smirin, Ilya|Ilya_Smirin
Koenig, Imre|Imre_K%C3%B6nig
Korody, Imre|Imre_Korody
Papadopoulos, Ioannis|Ioannis_Papadopoulos
Jones, Iolo|Iolo_Jones
Gudju, Ion|Ion_Gudju
Pogrebyssky, Iosif|Iosif_Pogrebyssky
Rudakovsky, Iosif|Iosif_Rudakovsky
Dorfman, Iossif|Iossif_Dorfman
Krush, Irina|Irina_Krush
Levitina, Irina|Irina_Levitina
Chernev, Irving|Irving_Chernev
Boleslavsky, Isaac|Isaac_Boleslavsky
Kashdan, Isaac|Isaac_Kashdan
Lipnitsky, Isaac|Isaac_Lipnitsky
Rice, Isaac|Isaac_Rice
Mazel, Isaak|Isaak_Mazel
Turover, Isador Samuel|Isador_Samuel_Turover
Pleci, Isaias|Isaias_Pleci
Vistaneckis, Isakas|Isakas_Vistaneckis
Gunsberg, Isidor|Isidor_Gunsberg
Horowitz, Israel|Israel_Horowitz
Abonyi, Istvan|Istv%C3%A1n_Abonyi
Bilek, Istvan|Istvan_Bilek
Csom, Istvan|Istvan_Csom
Cheparinov, Ivan|Ivan_Cheparinov
Ivanisevic, Ivan|Ivan_Ivanisevic
Morovic, Ivan|Iv%C3%A1n_Morovic
Radulov, Ivan|Ivan_Radulov
Saric, Ivan|Ivan_Saric_%28chess_player%29
Sokolov, Ivan|Ivan_Sokolov
Rohacek, Ivan Vladimir|Ivan_Vladimir_Roha%C4%8Dek
Furtado, Ivana Maria|Ivana_Maria_Furtado
Bern, Ivar|Ivar_Bern
Donev, Ivo|Ivo_Donev
Rajlich, Iweta|Iweta_Rajlich
Appel, Izaak|Izaak_Appel
Grynfeld, Izaak|Izaak_Grynfeld
Towbin, Izaak|Izaak_Towbin
Aloni, Izak|Izak_Aloni
Ehlvest, Jaan|Jaan_Ehlvest
Showalter, Jackson|Jackson_Showalter
Aagaard, Jacob|Jacob_Aagaard
Ascher, Jacob|Jacob_Ascher
Bernstein, Jacob|Jacob_Bernstein
Levin, Jacob|Jacob_Levin_%28chess_player%29
Murey, Jacob|Jacob_Murey
Rosenthal, Jacob|Jacob_Rosenthal
Sarratt, Jacob|Jacob_Sarratt
Bolbochan, Jacobo|J%C3%A1cobo_Bolboch%C3%A1n
Davidson, Jacques|Jacques_Davidson
Mieses, Jacques|Jacques_Mieses
Schwarz, Jacques|Jacques_Schwarz
Neto, Jaime Sunye|Jaime_Sunye_Neto
Rosanes, Jakob|Jakob_Rosanes
Heilpern, Jakub|Jakub_Heilpern
Kolski, Jakub|Jakub_Kolski
Leonard, James A.|James_A._Leonard
Eade, James|James_Eade
Grundy, James|James_Grundy_%28chess_player%29
Hanham, James|James_Hanham
Aitken, James Macrae|James_Macrae_Aitken
Mason, James|James_Mason_%28chess_player%29
Morris, James|James_Morris_%28chess_player%29
Plaskett, James|James_Plaskett
Sherwin, James|James_Sherwin
Tarjan, James|James_Tarjan
Foltys, Jan|Jan_Foltys
Gustafsson, Jan|Jan_Gustafsson
Donner, Jan Hein|Jan_Hein_Donner
Jr., Jan Kleczynski,|Jan_Kleczy%C5%84ski,_Jr.
Sr., Jan Kleczynski,|Jan_Kleczy%C5%84ski,_Sr.
Kotrc, Jan|Jan_Kotr%C4%8D
Kvicala, Jan|Jan_Kvicala
Plachetka, Jan|J%C3%A1n_Plachetka
Schulz, Jan|Jan_Schulz
Smeets, Jan|Jan_Smeets
Smejkal, Jan|Jan_Smejkal
Timman, Jan|Jan_Timman
Werle, Jan|Jan_Werle
Kolste, Jan Willem te|Jan_Willem_te_Kolst%C3%A9
Bellin, Jana|Jana_Bellin
Jackova, Jana|Jana_Jackova
Klovans, Janis|J%C4%81nis_Klov%C4%81ns
Balogh, Janos|J%C3%A1nos_Balogh_%28chess_player%29
Flesch, Janos|J%C3%A1nos_Flesch
Sajtar, Jaroslav|Jaroslav_%C5%A0ajtar
Koon-Jong, Jason Goh|Jason_Goh_Koon-Jong
Gonzales, Jayson|Jayson_Gonzales
Dufresne, Jean|Jean_Dufresne
Hebert, Jean|Jean_Hebert
Taubenhaus, Jean|Jean_Taubenhaus
Degraeve, Jean-Marc|Jean-Marc_Degraeve
Sarwer, Jeff|Jeff_Sarwer
Shahade, Jennifer|Jennifer_Shahade
Enevoldsen, Jens|Jens_Enevoldsen
Silman, Jeremy|Jeremy_Silman
Piket, Jeroen|Jeroen_Piket
Jagielski, Jerzy|Jerzy_Jagielski
Konikowski, Jerzy|Jerzy_Konikowski
Lewi, Jerzy|Jerzy_Lewi
Kraai, Jesse|Jesse_Kraai
Gilbert, Jessie|Jessie_Gilbert
Nogueiras, Jesus|Jesus_Nogueiras
Villa, Jesus de la|Jes%C3%BAs_de_la_Villa
Pelikan, Jiri|Ji%C5%99%C3%AD_Pelik%C3%A1n
Dworakowska, Joanna|Joanna_Dworakowska
Majdan, Joanna|Joanna_Majdan
Mendes, Joao de Souza|Jo%C3%A3o_de_Souza_Mendes
Benjamin, Joel|Joel_Benjamin
Fridlizius, Joel|Joel_Fridlizius
Lautier, Joel|Joel_Lautier
Hellsten, Johan|Johan_Hellsten
Allgaier, Johann Baptist|Johann_Baptist_Allgaier
Berger, Johann|Johann_Berger
Bauer, Johann Hermann|Johann_Hermann_Bauer
Hjartarson, Johann|Johann_Hjartarson
Loewenthal, Johann|Johann_L%C3%B6wenthal
Giersing, Johannes|Johannes_Giersing
Metger, Johannes|Johannes_Metger
Minckwitz, Johannes|Johannes_Minckwitz
Tuern, Johannes|Johannes_T%C3%BCrn
Zukertort, Johannes|Johannes_Zukertort
Bosch, Johannes van den|Johannes_van_den_Bosch_%28chess_player%29
Erskine, John Angus|John_Angus_Erskine
Cochrane, John|John_Cochrane
Curdo, John|John_Curdo
Emms, John|John_Emms_%28chess_player%29
Fedorowicz, John|John_Fedorowicz
Grefe, John|John_Grefe
Watson, John L.|John_L._Watson
Littlewood, John|John_Littlewood_%28chess_player%29
Morrison, John|John_Morrison_%28chess_player%29
Nunn, John|John_Nunn
O'Hanlon, John|John_O%27Hanlon
Owen, John|John_Owen_%28chess_player%29
Peters, John|John_Peters_%28chess%29
Purdy, John|John_Purdy_%28chess_player%29
Collins, John W.|John_W._Collins
Donaldson, John W.|John_W._Donaldson
Schulten, John William|John_William_Schulten
Wisker, John|John_Wisker
Wiel, John van der|John_van_der_Wiel
Zawadzka, Jolanta|Jolanta_Zawadzka
Arnason, Jon|Jon_Arnason
Hammer, Jon Ludvig|Jon_Ludvig_Hammer
Speelman, Jon|Jon_Speelman
Berry, Jonathan|Jonathan_Berry
Mestel, Jonathan|Jonathan_Mestel
Penrose, Jonathan|Jonathan_Penrose
Rowson, Jonathan|Jonathan_Rowson
Sarfati, Jonathan|Jonathan_Sarfati
Tisdall, Jonathan|Jonathan_Tisdall
Hector, Jonny|Jonny_Hector
Oosterom, Joop van|Joop_van_Oosterom
Rubinetti, Jorge|Jorge_Rubinetti
Szmetan, Jorge|Jorge_Szmetan
Moeller, Jorgen|Jorgen_Moeller
Sloth, Jorn|Jorn_Sloth
Garcia, Jose Gonzalez|Jose_Gonzalez_Garcia
Araiza, Jose Joaquin|Jos%C3%A9_Joaquin_Araiza
Capablanca, Jose Raul|Jos%C3%A9_Ra%C3%BAl_Capablanca
Rubinstein, Jose|Jos%C3%A9_Rubinstein
Cukierman, Josef|Josef_Cukierman
Dobias, Josef|Josef_Dobi%C3%A1%C5%A1
Krejcik, Josef|Josef_Krejcik
Lokvenc, Josef|Josef_Lokvenc
Noa, Josef|Josef_Noa
Rejfir, Josef|Josef_Rejfir
Gallagher, Joseph|Joseph_Gallagher
Blackburne, Joseph Henry|Joseph_Henry_Blackburne
Blake, Joseph Henry|Joseph_Henry_Blake_%28chess_player%29
Platz, Joseph|Joseph_Platz
Waitzkin, Josh|Josh_Waitzkin
Dorfman, Josif|Josif_Dorfman
Houska, Jovanka|Jovanka_Houska
Dominik, Jozef|J%C3%B3zef_Dominik
Zabinski, Jozef|J%C3%B3zef_%C5%BBabi%C5%84ski
Pinter, Jozsef|Jozsef_Pinter
Szen, Jozsef|J%C3%B3zsef_Sz%C3%A9n
Szily, Jozsef|J%C3%B3zsef_Szily
Wenjun, Ju|Ju_Wenjun
Zamora, Juan Carlos Gonzalez|Juan_Carlos_Gonzalez_Zamora
Corzo, Juan|Juan_Corzo
Iliesco, Juan|Juan_Iliesco
Acers, Jude|Jude_Acers
Polgar, Judit|Judit_Polgar
Riviere, Jules Arnous de|Jules_Arnous_de_Rivi%C3%A8re
Hodgson, Julian|Julian_Hodgson
Balparda, Julio|Julio_Balparda
Becerra, Julio|Julio_Becerra
Bolbochan, Julio|Julio_Bolboch%C3%A1n
Zuniga, Julio Granda|Julio_Granda_Zuniga
Granda, Julio|Julio_Granda
Kaplan, Julio|Julio_Kaplan
Brach, Julius|Julius_Brach
Dimer, Julius|Julius_Dimer
Finn, Julius|Julius_Finn
Mendheim, Julius|Julius_Mendheim
Perlis, Julius|Julius_Perlis
Mont, Julius du|Julius_du_Mont
Petkevich, Jusefs|Jusefs_Petkevich
Ojanen, Kaarle|Kaarle_Ojanen
Morawski, Kalikst|Kalikst_Morawski
Miton, Kamil|Kamil_Miton
Shirazi, Kamran|Kamran_Shirazi
Hromadka, Karel|Karel_Hrom%C3%A1dka
Opocensky, Karel|Karel_Opo%C4%8Densky
Skalicka, Karel|Karel_Skali%C4%8Dka
Traxler, Karel|Karel_Traxler
Treybal, Karel|Karel_Treybal
Asrian, Karen|Karen_Asrian
Berndtsson, Karl|Karl_Berndtsson
Gilg, Karl|Karl_Gilg
Helling, Karl|Karl_Helling
Hollaender, Karl|Karl_Holl%C3%A4nder
Pitschel, Karl|Karl_Pitschel
Robatsch, Karl|Karl_Robatsch
Ruben, Karl|Karl_Ruben
Schorn, Karl|Karl_Schorn
Rosenkrantz, Karl Wilhelm|Karl_Wilhelm_Rosenkrantz
Betins, Karlis|Karlis_Betin%C5%A1
Ozols, Karlis|Karlis_Ozols
Mar, Karmen|Karmen_Mar
Piltz, Karol|Karol_Piltz
Sterk, Karoly|K%C3%A1roly_Sterk
Mueller, Karsten|Karsten_M%C3%BCller
Beskow, Katarina|Katarina_Beskow
Nemcova, Katerina|Katerina_Nemcova
Lahno, Kateryna|Kateryna_Lahno
Makarczyk, Kazimierz|Kazimierz_Makarczyk
Plater, Kazimierz|Kazimierz_Plater
Arkell, Keith|Keith_Arkell
Rogoff, Kenneth|Kenneth_Rogoff
Arakhamia-Grant, Ketevan|Ketevan_Arakhamia-Grant
O'Connell, Kevin|Kevin_O%27Connell_%28chess_player%29
Spraggett, Kevin|Kevin_Spraggett
Harandi, Khosro|Khosro_Harandi
Zvorykina, Kira|Kira_Zvorykina
Georgiev, Kiril|Kiril_Georgiev
Lie, Kjetil Aleksander|Kjetil_Aleksander_Lie
Bischoff, Klaus|Klaus_Bischoff
Darga, Klaus|Klaus_Darga
Junge, Klaus|Klaus_Junge
Humpy, Koneru|Koneru_Humpy
Aseev, Konstantin|Konstantin_Aseev
Landa, Konstantin|Konstantin_Landa
Lerner, Konstantin|Konstantin_Lerner
Sakaev, Konstantin|Konstantin_Sakaev
Vygodchikov, Konstantin|Konstantin_Vygodchikov
Havasi, Kornel|Kornel_Havasi
Sasikiran, Krishnan|Krishnan_Sasikiran
Georgiev, Krum|Krum_Georgiev
Hulak, Krunoslav|Krunoslav_Hulak
Holuj-Radzikowska, Krystyna|Krystyna_Ho%C5%82uj-Radzikowska
Dreyer, Kurt|Kurt_Dreyer
Richter, Kurt|Kurt_Richter
Asztalos, Lajos|Lajos_Asztalos
Portisch, Lajos|Lajos_Portisch
Steiner, Lajos|Lajos_Steiner
Stock, Lara|Lara_Stock
Volpert, Larisa|Larisa_Volpert
Christiansen, Larry|Larry_Christiansen
Evans, Larry|Larry_Evans
Szabo, Laszlo|L%C3%A1szl%C3%B3_Szab%C3%B3_%28chess_player%29
Tapaszto, Laszlo|L%C3%A1szl%C3%B3_Tapaszt%C3%B3
Ross, Laura|Laura_Ross
Fressinet, Laurent|Laurent_Fressinet
Zalkind, Lazar|Lazar_Zalkind
Bruzon, Lazaro|L%C3%A1zaro_Bruz%C3%B3n
Liem, Le Quang|Le_Quang_Liem
Kermeur, Legall de|Legall_de_Kermeur
Laurine, Leho|Leho_Laurine
Johannessen, Leif Erlend|Leif_Erlend_Johannessen
Ogaard, Leif|Leif_Ogaard
Dominguez, Leinier|Leinier_Dom%C3%ADnguez
Oll, Lembit|Lembit_Oll
Dominguez, Lenier|Lenier_Dominguez
Ptacnikova, Lenka|Lenka_Ptacnikova
Forgacs, Leo|Le%C3%B3_Forg%C3%A1cs
Zobel, Leo|Leo_Zobel
Kremer, Leon|Leon_Kremer
Monosson, Leon|L%C3%A9on_Monosson
Rosen, Leon|Leon_Rosen
Schwartzmann, Leon|Leon_Schwartzmann
Stolzenberg, Leon|Leon_Stolzenberg
Tuhan-Baranowski, Leon|Leon_Tuhan-Baranowski
Barden, Leonard|Leonard_Barden
Abramavicius, Leonardas|Leonardas_Abramavi%C4%8Dius
Kubbel, Leonid|Leonid_Kubbel
Shamkovich, Leonid|Leonid_Shamkovich
Stein, Leonid|Leonid_Stein
Yudasin, Leonid|Leonid_Yudasin
Dreibergs, Leonids|Leonids_Dreibergs
Hoffer, Leopold|Leopold_Hoffer
Jr, Leopold Loewy,|Leopold_L%C3%B6wy,_Jr
Sr, Leopold Loewy,|Leopold_L%C3%B6wy,_Sr
Dubeck, Leroy|Leroy_Dubeck
Alburt, Lev|Lev_Alburt
Aptekar, Lev|Lev_Aptekar
Aronin, Lev|Lev_Aronin
Gutman, Lev|Lev_Gutman
Polugaevsky, Lev|Lev_Polugaevsky
Psakhis, Lev|Lev_Psakhis
Taussig, Lev|Lev_Taussig
Lengyel, Levente|Levente_Lengyel
Benima, Levi|Levi_Benima
Aronian, Levon|Levon_Aronian
Chao, Li|Li_Chao_%28chess_player%29
Ruofan, Li|Li_Ruofan
Shilong, Li|Li_Shilong
Shongjian, Li|Li_Shongjian
Wenliang, Li|Li_Wenliang
Zunian, Li|Li_Zunian
Tan, Lian Ann|Lian_Ann_Tan
Chong, Liang|Liang_Chong
Jinrong, Liang|Liang_Jinrong
Semenova, Lidia|Lidia_Semenova
Mkrtchian, Lilit|Lilit_Mkrtchian
Ta, Lin|Lin_Ta
Weiguo, Lin|Lin_Weiguo
Kieseritzky, Lionel|Lionel_Kieseritzky
Lane, Lisa|Lisa_Lane
Shilan, Liu|Liu_Shilan
Wenzhe, Liu|Liu_Wenzhe
Belavenets, Liudmila|Liudmila_Belavenets
Nisipeanu, Liviu-Dieter|Liviu-Dieter_Nisipeanu
Kristol, Ljuba|Ljuba_Kristol
Ljubojevic, Ljubomir|Ljubomir_Ljubojevic
Myagmarsueren, Lkhamsuerengiin|Lkhams%C3%BCrengiin_Myagmars%C3%BCren
Prins, Lodewijk|Lodewijk_Prins
Wely, Loek van|Loek_van_Wely
Jakovleva, Lora|Lora_Jakovleva
Schmid, Lothar|Lothar_Schmid
Matibet, Louis Betbeder|Louis_Betbeder_Matibet
Eisenberg, Louis|Louis_Eisenberg
Paulsen, Louis|Louis_Paulsen
Uedemann, Louis|Louis_Uedemann
Vliet, Louis van|Louis_van_Vliet
Bourdonnais, Louis-Charles Mahe de La|Louis-Charles_Mah%C3%A9_de_La_Bourdonnais
Fagan, Louisa Matilda|Louisa_Matilda_Fagan
Ftacnik, Lubomir|Lubomir_Ft%C3%A1%C4%8Dnik
Kavalek, Lubomir|Lubomir_Kavalek
Mendoza, Luciana Morales|Luciana_Morales_Mendoza
Endzelins, Lucijs|Lucijs_Endzelins
Pachman, Ludek|Ludek_Pachman
Potucek, Ludovit|Ludovit_Potu%C4%8Dek
Bledow, Ludwig|Ludwig_Bledow
Engels, Ludwig|Ludwig_Engels
Rellstab, Ludwig|Ludwig_Rellstab_%28chess_player%29
Roedl, Ludwig|Ludwig_R%C3%B6dl
Schmitt, Ludwig|Ludwig_Schmitt
Sanchez, Luis Augusto|Luis_Augusto_S%C3%A1nchez
Galego, Luis|Lu%C3%ADs_Galego
Palau, Luis|Luis_Palau
Piazzini, Luis|Luis_Piazzini
Lucena, Luis Ramirez|Luis_Ramirez_Lucena
McShane, Luke|Luke_McShane
Rudenko, Lyudmila|Lyudmila_Rudenko
Panchanathan, Magesh|Magesh_Panchanathan
Carlsen, Magnus|Magnus_Carlsen
Chiburdanidze, Maia|Maia_Chiburdanidze
Aaron, Manuel|Manuel_Aaron
Apicella, Manuel|Manuel_Apicella
Torriente, Manuel Golmayo|Manuel_Golmayo_Torriente
Hoyos, Manuel Leon|Manuel_Le%C3%B3n_Hoyos
Dzhumaev, Marat|Marat_Dzhumaev
Santo-Roman, Marc|Marc_Santo-Roman
Campbell, Marcel Sisniega|Marcel_Sisniega_Campbell
Manakova, Maria|Maria_Manakova
Mora, Maria Teresa|Mar%C3%ADa_Teresa_Mora
Castillo, Mariano|Mariano_Castillo
Sebag, Marie|Marie_Sebag
Degrande, Marigje|Marigje_Degrande
Bertok, Mario|Mario_Bertok
Monticelli, Mario|Mario_Monticelli
Napolitano, Mario|Mario_Napolitano
Bluvshtein, Mark|Mark_Bluvshtein
Diesen, Mark|Mark_Diesen
Dvoretsky, Mark|Mark_Dvoretsky
Hebden, Mark|Mark_Hebden
Paragua, Mark|Mark_Paragua
Stolberg, Mark|Mark_Stolberg
Taimanov, Mark|Mark_Taimanov
Tseitlin, Mark|Mark_Tseitlin
Luckis, Markas|Markas_Luckis
Wyvill, Marmaduke|Marmaduke_Wyvill_%28chess_player%29
Efroimski, Marsel|Marsel_Efroimski
Litinskaya-Shul, Marta|Marta_Litinskaya-Shul
Fierro, Martha|Martha_Fierro
Bier, Martin|Martin_Bier
Kreuzer, Martin|Martin_Kreuzer
Mrva, Martin|Martin_Mrva
From, Martin Severin|Martin_Severin_From
Bain, Mary|Mary_Bain
Rudge, Mary|Mary_Rudge
Bartel, Mateusz|Mateusz_Bartel
Damjanovic, Mato|Mato_Damjanovi%C4%87
Gladig, Matteo|Matteo_Gladig
Sadler, Matthew|Matthew_Sadler_%28chess_player%29
Ashley, Maurice|Maurice_Ashley
Billecard, Maurice|Maurice_Billecard
Fox, Maurice|Maurice_Fox
Raizman, Maurice|Maurice_Raizman
Blau, Max|Max_Blau
Bluemich, Max|Max_Bl%C3%BCmich
Euwe, Max|Max_Euwe
Fleissig, Max|Max_Fleissig
Harmonist, Max|Max_Harmonist
Judd, Max|Max_Judd
Lange, Max|Max_Lange
Marchand, Max|Max_Marchand
Pavey, Max|Max_Pavey
Romih, Max|Max_Romih
Walter, Max|Max_Walter
Weiss, Max|Max_Weiss
Dlugy, Maxim|Maxim_Dlugy
Rodshtein, Maxim|Maxim_Rodshtein
Vachier-Lagrave, Maxime|Maxime_Vachier-Lagrave
Ujtelky, Maximilian|Maximilian_Ujtelky
Khachiyan, Melikset|Melikset_Khachiyan
Oren, Menachem|Menachem_Oren
Amanov, Mesgen|Mesgen_Amanov
Adams, Michael|Michael_Adams
Basman, Michael|Michael_Basman
Freeman, Michael|Michael_Freeman_%28chess_player%29
Rohde, Michael|Michael_Rohde_%28chess_player%29
Roiz, Michael|Michael_Roiz
Stean, Michael|Michael_Stean
Valvo, Michael|Michael_Valvo
Wiedenkeller, Michael|Michael_Wiedenkeller
Wilder, Michael|Michael_Wilder
Krasenkow, Michal|Michal_Krasenkow
Olszewski, Michal|Micha%C5%82_Olszewski
Godena, Michele|Michele_Godena
Jursevskis, Miervaldis|Miervaldis_Jursevskis
Cuellar, Miguel|Miguel_Cuellar
Cordoba, Miguel Illescas|Miguel_Illescas_Cordoba
Illescas, Miguel|Miguel_Illescas
Najdorf, Miguel|Miguel_Najdorf
Quinteros, Miguel|Miguel_Quinteros
Suba, Mihai|Mihai_Suba
Marin, Mihail|Mihail_Marin
Udovcic, Mijo|Mijo_Udov%C4%8Di%C4%87
Botvinnik, Mikhail|Mikhail_Botvinnik
Chigorin, Mikhail|Mikhail_Chigorin
Golubev, Mikhail|Mikhail_Golubev
Gurevich, Mikhail|Mikhail_Gurevich_%28chess_player%29
Rytshagov, Mikhail|Mikhail_Rytshagov
Tal, Mikhail|Mikhail_Tal
Tseitlin, Mikhail|Mikhail_Tseitlin
Umansky, Mikhail|Mikhail_Umansky
Yudovich, Mikhail|Mikhail_Yudovich
Brody, Miklos|Miklos_Brody
Matulovic, Milan|Milan_Matulovi%C4%87
Jr., Milan Vidmar,|Milan_Vidmar,_Jr.
Vidmar, Milan|Milan_Vidmar
Vukcevich, Milan|Milan_Vukcevich
Vukic, Milan|Milan_Vuki%C4%87
Lauberte, Milda|Milda_Lauberte
Bobotsov, Milko|Milko_Bobotsov
Hanauer, Milton|Milton_Hanauer
Lazarevic, Milunka|Milunka_Lazarevic
Todorcevic, Miodrag|Miodrag_Todorcevic
Khan, Mir Sultan|Mir_Sultan_Khan
Maric, Mirjana|Mirjana_Maric
Broeder, Mirko|Mirko_Br%C3%B6der
Filip, Miroslav|Miroslav_Filip
Katetov, Miroslav|Miroslav_Kat%C4%9Btov
Cebalo, Miso|Miso_Cebalo
Watai, Miyoko|Miyoko_Watai
Subaric, Mladen|Mladen_%C5%A0ubari%C4%87
Al-Modiahki, Mohamad|Mohamad_Al-Modiahki
Al-Modiahki, Mohammed|Mohammed_Al-Modiahki
Lowtzky, Moishe|Moishe_Lowtzky
Eljaschoff, Moissei|Moissei_Eljaschoff
Karff, Mona May|Mona_May_Karff
Socko, Monika|Monika_Socko
Lewitt, Moritz|Moritz_Lewitt
Porges, Moritz|Moritz_Porges
Henneberger, Moriz|Moriz_Henneberger
Schapiro, Morris|Morris_Schapiro
Mahjoub, Morteza|Morteza_Mahjoub
Hirschel, Moses|Moses_Hirschel
Czerniak, Moshe|Moshe_Czerniak
Hirschbein, Moshe|Moshe_Hirschbein
Taleb, Moussa|Moussa_Taleb
Feigins, Movsas|Movsas_Feigins
Chandler, Murray|Murray_Chandler
Kazhgaleyev, Murtas|Murtas_Kazhgaleyev
Thiruchelvam, Murugan|Murugan_Thiruchelvam
