#########################################
#
# wikipedia-de.txt
#
#########################################
@lang=de
#########################################
Nimzowitsch, Aaron|Aaron_Nimzowitsch
Nadig, Kruttika|Kruttika_Nadig
Dabrowska, Krystyna|Krystyna_D%C4%85browska
Rybenko, Ksenia|Ksenia_Rybenko
Richter, Kurt|Kurt_Richter
Portisch, Lajos|Lajos_Portisch
Seres, Lajos|Lajos_Seres
Stock, Lara|Lara_Stock
Christiansen, Larry|Larry_Christiansen
Evans, Larry|Larry_Evans
Kaufman, Larry|Larry_Kaufman
Hansen, Lars Bo|Lars_Bo_Hansen
Karlsson, Lars|Lars_Karlsson_%28Schachspieler%29
Schandorff, Lars|Lars_Schandorff
Stark, Lars|Lars_Stark
Barczay, Laszlo|L%C3%A1szl%C3%B3_Barczay
Szabo, Laszlo|L%C3%A1szl%C3%B3_Szab%C3%B3
Vadasz, Laszlo|L%C3%A1szl%C3%B3_Vad%C3%A1sz
Rogule, Laura|Laura_Rogule
Fressinet, Laurent|Laurent_Fressinet
Bruzon, Lazaro|L%C3%A1zaro_Bruz%C3%B3n
Liem, Le Quang|L%C3%AA_Quang_Li%C3%AAm
Johannessen, Leif Erlend|Leif_Erlend_Johannessen
Ogaard, Leif|Leif_%C3%98gaard
Dominguez, Leinier|Leinier_Dom%C3%ADnguez
Dschawachischwili, Lela|Lela_Dschawachischwili
Oll, Lembit|Lembit_Oll
Ptacnikova, Lenka|Lenka_Pt%C3%A1%C4%8Dn%C3%ADkov%C3%A1
Judassin, Leonid|Leonid_Grigorjewitsch_Judassin
Kritz, Leonid|Leonid_Kritz
Schamkowitsch, Leonid|Leonid_Alexandrowitsch_Schamkowitsch
Stein, Leonid|Leonid_Sacharowitsch_Stein
Volosin, Leonid|Leonid_Volo%C5%A1in
Gutman, Lev|Lev_Gutman
Lengyel, Levente|Levente_Lengyel
Alburt, Lew|Lew_Ossipowitsch_Alburt
Polugajewski, Lew|Lew_Abramowitsch_Polugajewski
Psachis, Lew|Lew_Psachis
Panzulaia, Lewan|Lewan_Panzulaia
Aronjan, Lewon|Lewon_Aronjan
Ruofan, Li|Li_Ruofan
Mkrttschjan, Lilit|Lilit_Mkrttschjan
Kieseritzky, Lionel|Lionel_Kieseritzky
Nisipeanu, Liviu-Dieter|Liviu-Dieter_Nisipeanu
Spassow, Ljuben|Ljuben_Spassow
Ljubojevic, Ljubomir|Ljubomir_Ljubojevi%C4%87
Rudenko, Ljudmila|Ljudmila_Wladimirowna_Rudenko
Wely, Loek van|Loek_van_Wely
Arnold, Lothar|Lothar_Arnold
Schmid, Lothar|Lothar_Schmid
Vogt, Lothar|Lothar_Vogt
Zinn, Lothar|Lothar_Zinn
Paulsen, Louis|Louis_Paulsen
Ftacnik, Lubomir|%C4%BDubom%C3%ADr_Ft%C3%A1%C4%8Dnik
Kavalek, Lubomir|Lubomir_Kavalek
Winants, Luc|Luc_Winants
Brunner, Lucas|Lucas_Brunner
Pachman, Ludek|Lud%C4%9Bk_Pachman
Bledow, Ludwig|Ludwig_Bledow
Engels, Ludwig|Ludwig_Engels
Rellstab, Ludwig|Ludwig_Rellstab_%28Schachspieler%29
Roedl, Ludwig|Ludwig_R%C3%B6dl
Lenic, Luka|Luka_Leni%C4%8D
McShane, Luke|Luke_McShane
Espig, Lutz|Lutz_Espig
Carlsen, Magnus|Magnus_Carlsen
Lomineischwili, Maia|Maia_Lomineischwili
Tschiburdanidse, Maia|Maia_Tschiburdanidse
Nimtz, Manfred|Manfred_Nimtz
Apicella, Manuel|Manuel_Apicella
Vokac, Marek|Marek_Vok%C3%A1%C4%8D
Juncu, Margareta|Margareta_Juncu
Petursson, Margeir|Margeir_P%C3%A9tursson
Albulet, Maria|Maria_Albule%C5%A3
Ivanka-Budinsky, Maria|M%C3%A1ria_Iv%C3%A1nka-Budinsky
Kouvatsou, Maria|Maria_Kouvatsou
Sebag, Marie|Marie_Sebag
Manakova, Marija|Marija_Manakova
Makropoulou, Marina|Marina_Makropoulou
Manolache, Marius|Marius_Manolache
Taimanow, Mark|Mark_Jewgenjewitsch_Taimanow
Tratar, Marko|Marko_Tratar
Ragger, Markus|Markus_Ragger
Stangl, Markus|Markus_Stangl_%28Schachspieler%29
Trepp, Markus|Markus_Trepp
Wyvill, Marmaduke|Marmaduke_Wyvill
Litinskaja, Marta|Marta_Litinskaja
Michna, Marta|Marta_Michna
Breutigam, Martin|Martin_Breutigam
Christoffel, Martin|Martin_Christoffel
Forchert, Martin|Martin_Forchert
Mrva, Martin|Martin_Mrva
Neubauer, Martin|Martin_Neubauer
Senff, Martin|Martin_Senff
Beltz, Martina|Martina_Beltz
Gomes, Mary Ann|Mary_Ann_Gomes
Bartel, Mateusz|Mateusz_Bartel
Gerusel, Mathias|Mathias_Gerusel
Damjanovic, Mato|Mato_Damjanovi%C4%87
Sadler, Matthew|Matthew_Sadler
Duppel, Matthias|Matthias_Duppel
Ruefenacht, Matthias|Matthias_R%C3%BCfenacht
Wahls, Matthias|Matthias_Wahls
Ashley, Maurice|Maurice_Ashley
Bluemich, Max|Max_Bl%C3%BCmich
Euwe, Max|Max_Euwe
Lange, Max|Max_Lange
Dlugy, Maxim|Maxim_Dlugy
Rodshtein, Maxim|Maxim_Rodshtein
Vachier-Lagrave, Maxime|Maxime_Vachier-Lagrave
Kanep, Meelis|Meelis_Kanep
Ohme, Melanie|Melanie_Ohme
Gagunaschwili, Merab|Merab_Gagunaschwili
Adams, Michael|Michael_Adams_%28Schachspieler%29
Bezold, Michael|Michael_Bezold
Hoffmann, Michael|Michael_Hoffmann_%28Schachspieler%29
Prusikin, Michael|Michael_Prusikin
Richter, Michael|Michael_Richter_%28Schachspieler%29
Stean, Michael|Michael_Stean
Botwinnik, Michail|Michail_Moissejewitsch_Botwinnik
Gurewitsch, Michail|Michail_Naumowitsch_Gurewitsch
Kobalija, Michail|Michail_Robertowitsch_Kobalija
Tal, Michail|Michail_Tal
Umansky, Michail|Michail_Umansky
Krasenkow, Michal|Micha%C5%82_Krasenkow
Godena, Michele|Michele_Godena
Cordoba, Miguel Illescas|Miguel_Illescas_C%C3%B3rdoba
Najdorf, Miguel|Miguel_Najdorf
Quinteros, Miguel|Miguel_Quinteros
Suba, Mihai|Mihai_%C5%9Eub%C4%83
Udovcic, Mijo|Mijo_Udov%C4%8Di%C4%87
Weiss, Miksa|Miksa_Wei%C3%9F
Manik, Mikulas|Mikul%C3%A1%C5%A1_Man%C3%ADk
Matulovic, Milan|Milan_Matulovi%C4%87
Vidmar, Milan|Milan_Vidmar
Vukic, Milan|Milan_Vuki%C4%87
Bobozow, Milko|Milko_Bobozow
Jirovsky, Milos|Milo%C5%A1_Jirovsk%C3%BD
Khan, Mir Malik Sultan|Mir_Malik_Sultan_Khan
Parligras, Mircea|Mircea_P%C3%A2rligras
Filip, Miroslav|Miroslav_Filip
Grabarczyk, Miroslaw|Miros%C5%82aw_Grabarczyk
Cebalo, Miso|Mi%C5%A1o_Cebalo
Khaled, Mona|Mona_Khaled
Seps, Monika|Monika_Seps
Socko, Monika|Monika_So%C4%87ko
Muhammad al-Mudiyahki|Muhammad_al-Mudiyahki
Chandler, Murray|Murray_Chandler
Ludwig, Myrta|Myrta_Ludwig
Quliyev, Namiq|Namiq_Quliyev
Alexandria, Nana|Nana_Alexandria
Dsagnidse, Nana|Nana_Dsagnidse
Iosseliani, Nana|Nana_Iosseliani
Pogonina, Natalja|Natalja_Andrejewna_Pogonina
Schukowa, Natalja|Natalja_Schukowa
Bojkovic, Natasa|Nata%C5%A1a_Bojkovi%C4%87
Das, Neelotpal|Neelotpal_Das
Aghinjan, Nelli|Nelli_Aghinjan
Hua, Ni|Ni_Hua
Mdov, Nicat|Nicat_M%C9%99mm%C9%99dov
Huschenbeth, Niclas|Niclas_Huschenbeth
Rossolimo, Nicolas|Nicolas_Rossolimo
Davies, Nigel|Nigel_Davies
Short, Nigel|Nigel_Short
Witjugow, Nikita|Nikita_Kirillowitsch_Witjugow
Mitkov, Nikola|Nikola_Mitkov
Padewski, Nikola|Nikola_Padewski
Krogius, Nikolai|Nikolai_Wladimirowitsch_Krogius
Stanec, Nikolaus|Nikolaus_Stanec
Lakos, Nikoletta|Nikoletta_Lakos
Churzidse, Nino|Nino_Churzidse
Gaprindaschwili, Nona|Nona_Gaprindaschwili
Medvegy, Nora|N%C3%B3ra_Medvegy
Luecke, Norbert|Norbert_L%C3%BCcke_%28Schachspieler%29
Cvitan, Ognjen|Ognjen_Cvitan
Duras, Oldrich|Old%C5%99ich_Duras
Romanyschyn, Oleh|Oleh_Romanyschyn
Moros, Olexandr|Olexandr_Moros_%28Schachspieler%29
Onyschtschuk, Olexandr|Olexandr_Onyschtschuk
Rubzowa, Olga|Olga_Nikolajewna_Rubzowa
Zimina, Olga|Olga_Zimina
Niklasch, Oliver|Oliver_Niklasch
Schulte, Oliver|Oliver_Schulte
Staudner, Oliver|Oliver_Staudner
Vargas, Orestes Rodriguez|Orestes_Rodr%C3%ADguez_Vargas
Gelbfuhs, Oscar|Oscar_Gelbfuhs
Panno, Oscar|%C3%93scar_Panno
Naegeli, Oskar|Oskar_Naegeli
Bernstein, Ossip|Ossip_Bernstein
Zambrana, Osvaldo|Osvaldo_Zambrana
Benkner, Otto|Otto_Benkner
Borik, Otto|Otto_Borik
Zimmermann, Otto|Otto_Zimmermann
Zarnicki, Pablo|Pablo_Zarnicki
Benko, Pal|P%C3%A1l_Benk%C5%91
Boi, Paolo|Paolo_Boi
Negi, Parimarjan|Parimarjan_Negi
Schmidt, Paul Felix|Paul_Felix_Schmidt
Keres, Paul|Paul_Keres
Lipke, Paul|Paul_Lipke
Michel, Paul|Paul_Michel_%28Schachspieler%29
Morphy, Paul|Paul_Morphy
Motwani, Paul|Paul_Motwani
Bilguer, Paul Rudolph von|Paul_Rudolph_von_Bilguer
Leonhardt, Paul Saladin|Paul_Saladin_Leonhardt
Troeger, Paul|Paul_Tr%C3%B6ger
Sterren, Paul van der|Paul_van_der_Sterren
Blatny, Pavel|Pavel_Blatn%C3%BD_%28Schachspieler%29
Blehm, Pawel|Pawe%C5%82_Blehm
Eljanow, Pawel|Pawel_Eljanow
Zhaoqin, Peng|Peng_Zhaoqin
Harikrishna, Pentala|P._Harikrishna
Popovic, Petar|Petar_Popovi%C4%87_%28Schachspieler%29
Trifunovic, Petar|Petar_Trifunovi%C4%87
Acs, Peter|P%C3%A9ter_%C3%81cs
Biyiasas, Peter|Peter_Biyiasas
Enders, Peter|Peter_Enders_%28Schachspieler%29
Nielsen, Peter Heine|Peter_Heine_Nielsen
Hertel, Peter|Peter_Hertel_%28Schachspieler%29
Hesse, Peter|Peter_Hesse
Kuehn, Peter|Peter_K%C3%BChn
Leko, Peter|P%C3%A9ter_L%C3%A9k%C3%B3
Lukacs, Peter|P%C3%A9ter_Luk%C3%A1cs
Ostermeyer, Peter|Peter_Ostermeyer
Panzer, Peter|Peter_Panzer
Prohaszka, Peter|P%C3%A9ter_Proh%C3%A1szka
Szekely, Peter|P%C3%A9ter_Sz%C3%A9kely
Haba, Petr|Petr_H%C3%A1ba
Velicka, Petr|Petr_Veli%C4%8Dka
Schlosser, Philipp|Philipp_Schlosser
Stamma, Philipp|Philipp_Stamma
Cramling, Pia|Pia_Cramling
Saint-Amant, Pierre|Pierre_Saint-Amant
Bobras, Piotr|Piotr_Bobras
Swidler, Pjotr|Pjotr_Weniaminowitsch_Swidler
Carlsson, Pontus|Pontus_Carlsson
Nikolic, Predrag|Predrag_Nikoli%C4%87
Ostojic, Predrag|Predrag_Ostoji%C4%87
QHueseynov|Q%C9%99dir_H%C3%BCseynov
Kalod, Radek|Radek_Kalod
Wojtaszek, Radoslaw|Rados%C5%82aw_Wojtaszek
Leitao, Rafael|Rafael_Leit%C3%A3o
Vaganian, Rafael|Rafael_Vaganian
Topakian, Raffi|Raffi_Topakian
Buhmann, Rainer|Rainer_Buhmann
Knaak, Rainer|Rainer_Knaak
Tischbierek, Raj|Raj_Tischbierek
Akesson, Ralf|Ralf_%C3%85kesson
Appel, Ralf|Ralf_Appel
Lau, Ralf|Ralf_Lau
Mateo, Ramon|Ram%C3%B3n_Mateo
Strohhaeker, Raoul|Raoul_Strohh%C3%A4ker
Cholmow, Ratmir|Ratmir_Dmitrijewitsch_Cholmow
Mdov, Rauf|Rauf_M%C9%99mm%C9%99dov
Robson, Ray|Ray_Robson
Keene, Raymond|Raymond_Keene
Odendahl, Reiner|Reiner_Odendahl
Baumhus, Reinhard|Reinhard_Baumhus
Cherubim, Reinhard|Reinhard_Cherubim
Fuchs, Reinhart|Reinhart_Fuchs
Fine, Reuben|Reuben_Fine
Vera, Reynaldo|Reynaldo_Vera
Reti, Richard|Richard_R%C3%A9ti
Teichmann, Richard|Richard_Teichmann
Byrne, Robert|Robert_Byrne
Cvek, Robert|Robert_Cvek
Huebner, Robert|Robert_H%C3%BCbner
Fischer, Robert James|Bobby_Fischer
Weizsaecker, Robert K. von|Robert_K._von_Weizs%C3%A4cker
Kempinski, Robert|Robert_Kempi%C5%84ski
Rabiega, Robert|Robert_Rabiega
Ruck, Robert|R%C3%B3bert_Ruck
Ekstroem, Roland|Roland_Ekstr%C3%B6m
Schmaltz, Roland|Roland_Schmaltz
Schlindwein, Rolf|Rolf_Schlindwein
Dzindzichashvili, Roman|Roman_Dzindzichashvili
Slobodjan, Roman|Roman_Slobodjan
Mainka, Romuald|Romuald_Mainka
Henley, Ron|Ron_Henley
Balinas, Rosendo|Rosendo_Balinas
Lufei, Ruan|Ruan_Lufei
Felgaer, Ruben|Rub%C3%A9n_Felgaer
Charousek, Rudolf|Rudolf_Charousek
Keller, Rudolf|Rudolf_Keller
Palme, Rudolf|Rudolf_Palme
Spielmann, Rudolf|Rudolf_Spielmann
Swiderski, Rudolf|Rudolf_Swiderski
Teschner, Rudolf|Rudolf_Teschner
Djurhuus, Rune|Rune_Djurhuus
Ponomarjow, Ruslan|Ruslan_Ponomarjow
Kasimdzhanov, Rustam|Rustam_Kasimjanov
Dautov, Rustem|Rustem_Dautov
Goletiani, Rusudan|Rusudan_Goletiani
Segura, Ruy Lopez de|Ruy_L%C3%B3pez_de_Segura
Efimenko, Sachar|Sachar_Efimenko
Flohr, Salo|Salo_Flohr
Melia, Salome|Salome_Melia
Loyd, Samuel|Samuel_Loyd
Reshevsky, Samuel|Samuel_Reshevsky
Sjugirow, Sanan|Sanan_Wjatscheslawowitsch_Sjugirow
Mdyarov, Sar|%C5%9E%C9%99hriyar_M%C9%99mm%C9%99dyarov
Sulskis, Sarunas|%C5%A0ar%C5%ABnas_%C5%A0ulskis
Tartakower, Savielly|Savielly_Tartakower
Andriasjan, Sawen|Sawen_Andriasjan
Bogner, Sebastian|Sebastian_Bogner
Siebrecht, Sebastian|Sebastian_Siebrecht
Furman, Semjon|Semjon_Abramowitsch_Furman
Dolmatow, Sergei|Sergei_Wiktorowitsch_Dolmatow
Fedortschuk, Sergei|Sergei_Fedortschuk
Grigorjanz, Sergei|Sergei_Michailowitsch_Grigorjanz
Kalinitschew, Sergei|Sergei_Leonidowitsch_Kalinitschew
Karjakin, Sergei|Sergei_Alexandrowitsch_Karjakin
Makarytschew, Sergei|Sergei_Jurjewitsch_Makarytschew
Rubjowski, Sergei|Sergei_Wladimirowitsch_Rubljowski
Wolkow, Sergei|Sergei_Wiktorowitsch_Wolkow
Movsesjan, Sergej|Sergej_Movsesjan
Tiviakov, Sergey|Sergey_Tiviakov
Yang, Shen|Shen_Yang
Safin, Shuxrat|Shuxrat_Safin
Tarrasch, Siegbert|Siegbert_Tarrasch
Baumegger, Siegfried|Siegfried_Baumegger
Dittmann, Sieghart|Sieghart_Dittmann
Agdestein, Simen|Simen_Agdestein
Ernst, Sipke|Sipke_Ernst
Schyhalka, Sjarhej|Sjarhej_Schyhalka
Cicak, Slavko|Slavko_Cicak
Lputjan, Smbat|Smbat_Lputjan
Graf-Stevenson, Sonja|Sonja_Graf
Graf, Sonja|Sonja_Graf
Milliet, Sophie|Sophie_Milliet
Bromberger, Stefan|Stefan_Bromberger
Kindermann, Stefan|Stefan_Kindermann
Mohr, Stefan|Stefan_Mohr
Wehmeier, Stefan|Stefan_Wehmeier
Brynell, Stellan|Stellan_Brynell
Conquest, Stuart|Stuart_Conquest
Atalik, Suat|Suat_Atal%C4%B1k
Vijayalakshmi, Subbaraman|S._Vijayalakshmi
Hansen, Sune Berg|Sune_Berg_Hansen
Asmaiparaschwili, Surab|Surab_Asmaiparaschwili
Ganguly, Surya Shekhar|Surya_Shekhar_Ganguly
Megaranto, Susanto|Susanto_Megaranto
Maksimovic, Suzana|Suzana_Maksimovi%C4%87
Telljohann, Sven|Sven_Telljohann
Gligoric, Svetozar|Svetozar_Gligori%C4%87
Prudnikowa, Swetlana|Swetlana_Alexandrowna_Prudnikowa
Isoria, Swiad|Swiad_Isoria
Shaked, Tal|Tal_Shaked
Chmiadaschwili, Tamar|Tamar_Chmiadaschwili
Giorgadse, Tamas|Tamas_Giorgadse
Sachdev, Tania|Tania_Sachdev
Lasa, Tassilo von Heydebrand und der|Tassilo_von_Heydebrand_und_der_Lasa
Kossinzewa, Tatjana|Tatjana_Anatoljewna_Kossinzewa
Lematschko, Tatjana|Tatjana_Lematschko
Rubzowa, Tatjana|Tatjana_Alexejewna_Rubzowa
Satulowskaja, Tatjana|Tatjana_Jakowlewna_Satulowskaja
Rov, Teymur|Teymur_R%C9%99c%C9%99bov
Schuster, Theo|Theo_Schuster_%28Schachspieler%29
Scheve, Theodor von|Theodor_von_Scheve
Heinemann, Thies|Thies_Heinemann
Luther, Thomas|Thomas_Luther
Neuer, Thomas|Thomas_Neuer
Paehtz, Thomas|Thomas_P%C3%A4htz
Haub, Thorsten Michael|Thorsten_Michael_Haub
Tian, Tian|Tian_Tian_%28Schachspielerin%29
Persson, Tiger Hillarp|Tiger_Hillarp_Persson
Petrosjan, Tigran|Tigran_Petrosjan
Mietzner, Tina|Tina_Mietzner
Wedberg, Tom|Tom_Wedberg
Likavsky, Tomas|Tom%C3%A1%C5%A1_Likavsk%C3%BD
Oral, Tomas|Tom%C3%A1%C5%A1_Oral
Petrik, Tomas|Tom%C3%A1%C5%A1_Petr%C3%ADk
Polak, Tomas|Tom%C3%A1%C5%A1_Pol%C3%A1k
Markowski, Tomasz|Tomasz_Markowski
Nybaeck, Tomi|Tomi_Nyb%C3%A4ck
Miles, Tony|Tony_Miles
Nedev, Trajce|Traj%C4%8De_Nedev
Hamarat, Tunc|Tunc_Hamarat
Andersson, Ulf|Ulf_Andersson
Schulze, Ulrich|Ulrich_Schulze_%28Schachspieler%29
Adianto, Utut|Utut_Adianto
Boensch, Uwe|Uwe_B%C3%B6nsch
Milov, Vadim|Vadim_Milov
Akobian, Varuzhan|Varuzhan_Akobian
Sanduleac, Vasile|Vasile_Sanduleac
Kotronias, Vasilios|Vasilios_Kotronias
Pirc, Vasja|Vasja_Pirc
Juergens, Vera|Vera_J%C3%BCrgens
Menchik, Vera|Vera_Menchik
Ciocaltea, Victor|Victor_Cioc%C3%A2ltea
Bologan, Viktor|Viktor_Bologan
Erdos, Viktor|Viktor_Erd%C5%91s
Gavrikov, Viktor|Viktor_Gavrikov
Kortschnoi, Viktor|Viktor_Kortschnoi
Laznicka, Viktor|Viktor_L%C3%A1zni%C4%8Dka
Cmilyte, Viktorija|Viktorija_%C4%8Cmilyt%C4%97
Grimm, Vincenz|Vincenz_Grimm
Anand, Viswanathan|Viswanathan_Anand
Golod, Vitali|Vitali_Golod
Raicevic, Vladimir|Vladimir_Rai%C4%8Devi%C4%87
Petrovs, Vladimirs|Vladimirs_Petrovs
Tkachiev, Vladislav|Vladislav_Tkachiev
Babula, Vlastimil|Vlastimil_Babula
Hort, Vlastimil|Vlastimil_Hort
Jansa, Vlastimil|Vlastimil_Jansa
Anton, Volker-Michael|Volker-Michael_Anton
Hov, Vueqar|V%C3%BCqar_H%C9%99%C5%9Fimov
Swjaginzew, Wadim|Wadim_Swjaginzew
Malachatko, Wadym|Wadym_Malachatko
Koslowskaja, Walentina|Walentina_Jakowlewna_Koslowskaja
Beim, Waleri|Waleri_Beim
Salow, Waleri|Waleri_Borissowitsch_Salow
Tschechow, Waleri|Waleri_Alexandrowitsch_Tschechow
Arencibia, Walter|Walter_Arencibia
Browne, Walter|Walter_Browne
Henneberger, Walter|Walter_Henneberger
Niephaus, Walter|Walter_Niephaus
Holzhausen, Walther Freiherr von|Walther_Freiherr_von_Holzhausen
Nowarra, Waltraud|Waltraud_Nowarra
Hao, Wang|Wang_Hao_%28Schachspieler%29
Pin, Wang|Wang_Pin
Yue, Wang|Wang_Yue
Spassow, Wassil|Wassil_Spassow
Smyslow, Wassili|Wassili_Wassiljewitsch_Smyslow
Iwantschuk, Wassyl|Wassyl_Iwantschuk
Nebolsina, Wera|Wera_Nebolsina
Beckemeyer, Werner|Werner_Beckemeyer
Golz, Werner|Werner_Golz
Hug, Werner|Werner_Hug
Topalow, Wesselin|Wesselin_Topalow
Kupreitschik, Wiktor|Wiktor_Dawidowitsch_Kupreitschik
Moskalenko, Wiktor|Wiktor_Moskalenko
Cohn, Wilhelm|Wilhelm_Cohn
Hanstein, Wilhelm|Wilhelm_Hanstein
Steinitz, Wilhelm|Wilhelm_Steinitz
Schlage, Willi|Willi_Schlage
Evans, William Davies|William_Davies_Evans
Lewis, William|William_Lewis_%28Schachspieler%29
Lombardy, William|William_Lombardy
Watson, William|William_N._Watson
Zeschkowski, Witali|Witali_Walerjewitsch_Zeschkowski
Kunin, Witaly|Witaly_Kunin
Ragosin, Wjatscheslaw|Wjatscheslaw_Wassiljewitsch_Ragosin
Antoschin, Wladimir|Wladimir_Sergejewitsch_Antoschin
Bagirow, Wladimir|Wladimir_Bagirow
Baklan, Wladimir|Wladimir_Baklan
Burmakin, Wladimir|Wladimir_Burmakin
Hakobjan, Wladimir|Wladimir_Hakobjan
Jepischin, Wladimir|Wladimir_Sergejewitsch_Jepischin
Kramnik, Wladimir|Wladimir_Borissowitsch_Kramnik
Liberson, Wladimir|Wladimir_Michailowitsch_Liberson
Malachow, Wladimir|Wladimir_Nailjewitsch_Malachow
Sawon, Wladimir|Wladimir_Sawon
Simagin, Wladimir|Wladimir_Pawlowitsch_Simagin
Tukmakow, Wladimir|Wladimir_Borissowitsch_Tukmakow
Schmidt, Wlodzimierz|W%C5%82odzimierz_Schmidt
Gerstner, Wolfgang|Wolfgang_Gerstner
Pietzsch, Wolfgang|Wolfgang_Pietzsch
Richter, Wolfgang|Wolfgang_Richter_%28Schachspieler%29
Uhlmann, Wolfgang|Wolfgang_Uhlmann
Unzicker, Wolfgang|Wolfgang_Unzicker
Weil, Wolfgang|Wolfgang_Weil
Jun, Xie|Xie_Jun
Yuanyuan, Xu|Xu_Yuanyuan
Yuhua, Xu|Xu_Yuhua
Kraidman, Yair|Yair_Kraidman
Pelletier, Yannick|Yannick_Pelletier
Seirawan, Yasser|Yasser_Seirawan
Jiangchuan, Ye|Ye_Jiangchuan
Visser, Yge|Yge_Visser
Hracek, Zbynek|Zbyn%C4%9Bk_Hr%C3%A1%C4%8Dek
Kozul, Zdenko|Zdenko_Ko%C5%BEul
Jilin, Zhang|Zhang_Jilin
Pengxiang, Zhang|Zhang_Pengxiang
Zhong, Zhang|Zhang_Zhong
Xue, Zhao|Zhao_Xue
Chen, Zhu|Zhu_Chen
Lanka, Zigurds|Zigurds_Lanka
Almasi, Zoltan|Zolt%C3%A1n_Alm%C3%A1si
Gyimesi, Zoltan|Zolt%C3%A1n_Gyimesi
Medvegy, Zoltan|Zolt%C3%A1n_Medvegy
Ribli, Zoltan|Zolt%C3%A1n_Ribli
Varga, Zoltan|Zolt%C3%A1n_Varga_%28Schachspieler%29
Polgar, Zsofia|Zs%C3%B3fia_Polg%C3%A1r
Polgar, Zsuzsa|Zsuzsa_Polg%C3%A1r
Stanojoski, Zvonko|Zvonko_Stanojoski
