#########################################
#
# wikipedia-de.txt
#
#########################################
@lang=de
#########################################
Nimzowitsch, Aaron|Aaron_Nimzowitsch
Schneider, Bernd|Bernd_Schneider_%28Schachspieler%29
Horwitz, Bernhard|Bernhard_Horwitz
Englisch, Berthold|Berthold_Englisch
Koch, Berthold|Berthold_Koch
Trabert, Bettina|Bettina_Trabert
Fischer, Bobby|Bobby_Fischer
Kurajica, Bojan|Bojan_Kurajica
Vuckovic, Bojan|Bojan_Vu%C4%8Dkovi%C4%87_%28Schachspieler%29
Alterman, Boris|Boris_Alterman
Awruch, Boris|Boris_Awruch
Gelfand, Boris|Boris_Gelfand
Gulko, Boris F|Boris_Franzewitsch_Gulko
Kostic, Boris|Boris_Kosti%C4%87
Margolin, Boris|Boris_Margolin
Spasski, Boris W|Boris_Wassiljewitsch_Spasski
Ivkov, Borislav|Borislav_Ivkov
Predojevic, Borki|Borki_Predojevi%C4%87
Ivanovic, Bozidar|Bo%C5%BEidar_Ivanovi%C4%87
Damljanovic, Branko|Branko_Damljanovi%C4%87
Parma, Bruno|Bruno_Parma
Xiangzhi, Bu|Bu_Xiangzhi
Gurgenidse, Buchuti|Buchuti_Gurgenidse
Malich, Burkhard|Burkhard_Malich
Baginskaite, Camilla|Camilla_Baginskaite
Ahues, Carl|Carl_Ahues
Walbrodt, Carl August|Carl_August_Walbrodt
Carls, Carl|Carl_Carls
Jaenisch, Carl Friedrich|Carl_Friedrich_J%C3%A4nisch
Goering, Carl|Carl_G%C3%B6ring
Hamppe, Carl|Carl_Hamppe
Mayet, Carl|Carl_Mayet
Schlechter, Carl|Carl_Schlechter
Guimard, Carlos E|Carlos_Guimard
Repetto, Carlos Torre|Carlos_Torre_Repetto
Voicu-Jagodzinsky, Carmen|Carmen_Voicu-Jagodzinsky
Hoi, Carsten|Carsten_H%C3%B8i
Vere, Cecil De|Cecil_De_Vere
Silans, Chantal Chaude de|Chantal_Chaud%C3%A9_de_Silans
Bauer, Christian|Christian_Bauer_%28Schachspieler%29
Gabriel, Christian|Christian_Gabriel
Mann, Christian|Christian_Mann
Richter, Christian|Christian_Richter_%28Schachspieler%29
Seel, Christian|Christian_Seel
Wilhelmi, Christian|Christian_Wilhelmi
Lutz, Christopher|Christopher_Lutz
Landenbergue, Claude|Claude_Landenbergue
Amura, Claudia|Claudia_Amura
McNab, Colin A|Colin_McNab
Lupulescu, Constantin|Constantin_Lupulescu
Peptan, Corina-Isabela|Corina-Isabela_Peptan
Balogh, Csaba|Csaba_Balogh
Hansen, Curt|Curt_Hansen
Bardeleben, Curt von|Curt_von_Bardeleben
Ciuksyte, Dagne|Dagn%C4%97_%C4%8Ciuk%C5%A1yt%C4%97
Yanofsky, Daniel Abraham|Daniel_Abraham_Yanofsky
Campora, Daniel H|Daniel_C%C3%A1mpora
Fridman, Daniel|Daniel_Fridman
Harrwitz, Daniel|Daniel_Harrwitz
King, Daniel|Daniel_King_%28Schachspieler%29
Lima, Darcy|Darcy_Lima
Ruzele, Darius|Darius_Ru%C5%BEel%C4%97
Anic, Darko|Darko_Ani%C4%87
Sadwakasow, Darmen|Darmen_Sadwakasow
Johansen, Darryl|Darryl_Johansen
Baramidze, David|David_Baramidze
Berczes, David|D%C3%A1vid_B%C3%A9rczes
Bronstein, David|David_Ionowitsch_Bronstein
Howell, David|David_Howell_%28Schachspieler%29
Navara, David|David_Navara
Palo, Davor|Davor_Palo
Przepiorka, Dawid|Dawid_Przepi%C3%B3rka
Dschodschua, Dawit|Dawit_Dschodschua
Schengelia, Dawit|Dawit_Schengelia
Breder, Dennis|Dennis_Breder
Bertholdt, Dieter|Dieter_Bertholdt
Mohrlok, Dieter|Dieter_Mohrlok
Stern, Dieter|Dieter_Stern
Bunzmann, Dimitri|Dimitri_Bunzmann
Reinderman, Dimitri|Dimitri_Reinderman
Jakowenko, Dmitri|Dmitri_Olegowitsch_Jakowenko
Ponziani, Domenico Lorenzo|Domenico_Lorenzo_Ponziani
Rogozenko, Dorian|Dorian_Rogozenko
Zifroni, Dov|Dov_Zifroni
Blagojevic, Dragisa|Dragi%C5%A1a_Blagojevi%C4%87
Ciric, Dragoljub M|Dragoljub_%C4%8Ciri%C4%87
Janosevic, Dragoljub|Dragoljub_Jano%C5%A1evi%C4%87
Velimirovic, Dragoljub|Dragoljub_Velimirovi%C4%87
Marovic, Drazen|Dra%C5%BEen_Marovi%C4%87
Suttles, Duncan|Duncan_Suttles
Pavasovic, Dusko|Du%C5%A1ko_Pavasovi%C4%8D
Schmittdiel, Eckhard|Eckhard_Schmittdiel
Handoko, Edhi|Edhi_Handoko
Keller-Herrmann, Edith|Edith_Keller-Herrmann
Mednis, Edmar J|Edmar_Mednis
Dyckhoff, Eduard|Eduard_Dyckhoff
Gufeld, Eduard|Eduard_Gufeld
Meduna, Eduard|Eduard_Meduna
Rozentalis, Eduardas|Eduardas_Rozentalis
Kengis, Edvins|Edv%C4%ABns_%C4%B6e%C5%86%C4%A3is
Bogoljubow, Efim|Efim_Bogoljubow
Geller, Efim P|Efim_Geller
Post, Ehrhardt|Ehrhardt_Post
Gausel, Einar|Einar_Gausel
Atalik, Ekaterina|Ekaterina_Atal%C4%B1k
Donaldson-Akhmilovskaya, Elena|Elena_Donaldson-Akhmilovskaya
Lewuschkina, Elena|Elena_Lewuschkina
Sedina, Elena|Elena_Sedina
Williams, Elijah|Elijah_Williams
Danieljan, Elina|Elina_Danieljan
Polihroniade, Elisabeta|Elisabeta_Polihroniade
Paehtz, Elisabeth|Elisabeth_P%C3%A4htz
Richtrova, Eliska|Eli%C5%A1ka_Richtrov%C3%A1
Elmar MrElmar_M%C9%99h%C9%99rr%C9%99mov
Safarli, Eltac|Eltac_S%C9%99f%C9%99rli
Berg, Emanuel|Emanuel_Berg
Lasker, Emanuel|Emanuel_Lasker
Schiffers, Emanuel|Emanuel_Schiffers
Anka, Emil|Emil_Anka
Diemer, Emil Joseph|Emil_Joseph_Diemer
Schallopp, Emil|Emil_Schallopp
Sutovsky, Emil|Emil_Sutovsky
Dschingarowa, Emilija|Emilija_Dschingarowa
Cordova, Emilio|Emilio_C%C3%B3rdova
Bukic, Enver|Enver_Buki%C4%87
Dervishi, Erald|Erald_Dervishi
Lobron, Eric|Eric_Lobron
Cohn, Erich|Erich_Cohn
Eliskases, Erich|Erich_Eliskases
Doel, Erik van den|Erik_van_den_Doel
Inarkiew, Ernesto|Ernesto_Inarkiew
Falkbeer, Ernst|Ernst_Falkbeer
Gruenfeld, Ernst|Ernst_Gr%C3%BCnfeld
Voellmy, Erwin|Erwin_Voellmy
Bacrot, Etienne|%C3%89tienne_Bacrot
Tripolsky, Eugen|Eugen_Tripolsky
Torre, Eugenio|Eugenio_Torre
Karakas, Eva|%C3%89va_Karakas
Moser, Eva|Eva_Moser_%28Schachspielerin%29
Shmirina, Evgenija|Evgenija_Shmirina
Agrest, Evgeny|Evgeny_Agrest
Abbasov, Farid|F%C9%99rid_Abbasov
Doettling, Fabian|Fabian_D%C3%B6ttling
Caruana, Fabiano|Fabiano_Caruana
Libiszewski, Fabien|Fabien_Libiszewski
Bindrich, Falko|Falko_Bindrich
Levin, Felix|Felix_Levin
Berkes, Ferenc|Ferenc_Berkes
Peralta, Fernando|Fernando_Peralta_%28Schachspieler%29
Chassanowa, Fljura|Fljura_Chassanowa
Grafl, Florian|Florian_Grafl
Handke, Florian|Florian_Handke
Jenni, Florian|Florian_Jenni
Gheorghiu, Florin|Florin_Gheorghiu
Benkoe, Francisco|Francisco_Benk%C3%B6
Pons, Francisco Vallejo|Francisco_Vallejo_Pons
Philidor, Francois-Andre Danican|Fran%C3%A7ois-Andr%C3%A9_Danican_Philidor
Holzke, Frank|Frank_Holzke
Lamprecht, Frank|Frank_Lamprecht
Marshall, Frank|Frank_Marshall_%28Schachspieler%29
Zeller, Frank|Frank_Zeller
Olafsson, Fridrik|Fri%C3%B0rik_%C3%93lafsson
Rinder, Friedl|Friedl_Rinder
Saemisch, Friedrich|Friedrich_S%C3%A4misch
Nijboer, Friso|Friso_Nijboer
Baumbach, Fritz|Fritz_Baumbach
Riemann, Fritz|Fritz_Riemann_%28Schachspieler%29
Sarkissjan, Gabriel|Gabriel_Sarkissjan
